sample_id,sample_category,spectrum_state,auc_320_480,abs_max,lambda_max_nm,centroid_nm,fwhm_nm,abs_384_nm,abs_400_nm,ratio_abs_384_400,auc_320_380,auc_380_440,auc_ratio_320_380_over_380_440,second_derivative_384,second_derivative_400
5I,sample,total,1937195.5,17590.0,320.9,390.1207839770045,,13370.0,12723.999999999998,1.0507701980509276,878685.0,703281.0,1.249408131315932,-1.500000000000341,4.2499999999998295
6C,sample,oxidized,2198717.0,16430.0,445.9,407.0545292261876,,14248.000000000002,14904.0,0.9559849704777242,665397.0,893055.0,0.7450795303760687,-16.50000000000034,7.749999999999488
6C,sample,reduced,2401013.0,17220.0,419.9,405.67135647686126,,16508.0,16900.0,0.9768047337278106,751113.0,989860.0,0.7588073060836886,-19.00000000000034,3.749999999999716
6C,sample,total,2582455.0,21290.0,320.9,395.85989521827605,,16440.0,16109.0,1.0205475200198646,1054885.0,934140.0,1.1292579270773118,-13.500000000000227,7.749999999999488
6D,sample,oxidized,4623430.0,37510.0,386.9,399.67887775991113,159.0,37366.0,36399.99999999999,1.0265384615384618,1633605.0,1995950.0,0.8184598812595506,-28.999999999999773,-38.49999999999966
6D,sample,reduced,2804490.0,32620.0,326.9,384.4217263600429,,16902.0,15516.999999999996,1.0892569439969069,1453940.0,866695.0,1.6775682333462176,4.749999999999943,-15.749999999999602
6D,sample,total,3428000.0,25820.0,320.9,394.1575095473249,,24299.0,23276.999999999996,1.043906001632513,1429010.0,1293340.0,1.1048989438198773,-9.749999999999943,-23.999999999999773
6F,sample,oxidized,418953.0,3949.0,377.9,386.8071846747231,,3915.3999999999996,3596.0999999999995,1.0887906342982676,192263.0,179056.0,1.0737590474488428,-1.9249999999997556,-3.5250000000001194
6F,sample,reduced,1908387.0,23410.0,320.9,382.41637445918417,,14430.999999999998,13120.999999999998,1.09983995122323,983565.0,692243.5,1.420836743140239,5.7500000000001705,-12.750000000000057
6F,sample,total,892391.5,8704.0,320.9,384.38581000831164,,7344.699999999999,6733.699999999999,1.0907376330991876,437941.5,347123.5,1.261630226706057,0.450000000000216,-7.150000000000034
6H,sample,oxidized,317026.0,2802.0,378.9,387.69440050487765,,2799.7999999999997,2539.1999999999994,1.1026307498424703,144821.5,130614.5,1.108770465759927,-11.524999999999721,6.0
6H,sample,reduced,1599686.5,18880.0,320.9,385.45979114896613,,11513.999999999998,10471.999999999998,1.0995034377387318,789855.0,569333.0,1.3873339504297133,-6.999999999999886,4.749999999999943
6H,sample,total,761471.5,7808.0,320.9,386.13419267618576,,5896.7,5370.699999999999,1.0979388161692147,366698.0,285818.0,1.282977279247633,-6.874999999999858,7.324999999999903
6J,sample,oxidized,149075.0,1363.0,375.9,384.3997962904831,,1318.7999999999995,1122.4999999999995,1.1748775055679288,73730.0,58276.0,1.2651863545885098,-6.849999999999625,-10.47499999999988
6J,sample,reduced,1122699.0,13320.0,320.9,383.3256504902277,,8079.899999999998,7017.999999999998,1.1513109147905387,582981.5,381726.0,1.5272250252799129,-11.97499999999954,-4.950000000000102
6J,sample,total,511780.0,5535.0,320.9,383.61156504049256,,3867.199999999999,3351.6999999999994,1.1538025479607363,262536.0,180121.5,1.4575494874293184,-9.624999999999574,-7.599999999999966
Standard 1,standard,oxidized,13252375.0,131100.0,384.9,390.07522344611255,159.0,131010.0,121679.99999999997,1.0766765285996058,5531110.0,6195995.0,0.8926911658256664,-77.50000000000057,-47.49999999999943
Standard 1,standard,reduced,9370460.0,76720.0,368.9,389.0608977047683,,74514.0,68001.99999999999,1.0957618893561956,4285645.0,3616335.0,1.1850796455527488,-7.750000000000057,-12.249999999999943
Standard 1,standard,total,7831500.0,70910.0,381.9,389.4713540566741,159.0,70821.0,65258.999999999985,1.085229623500207,3418495.0,3375005.0,1.0128859068356937,-34.499999999999886,-24.749999999999943
Standard 2,standard,oxidized,15134580.0,150600.0,384.9,390.2037876241506,159.0,150510.0,140059.99999999997,1.0746108810509785,6280165.0,7128725.0,0.8809660914118583,-77.50000000000057,-72.49999999999943
Standard 2,standard,reduced,9474935.0,77280.0,367.9,389.2351067125519,,75000.0,68641.99999999999,1.092625506249818,4319270.0,3659540.0,1.1802767560950282,-8.499999999999659,-23.49999999999966
Standard 2,standard,total,10428655.0,95540.0,381.9,389.76083170178674,159.0,95458.0,88194.99999999999,1.0823516072339703,4504360.0,4553785.0,0.9891463914084657,-46.249999999999716,-51.99999999999932
Standard 3,standard,oxidized,13155430.0,131100.0,383.9,390.2455662129886,159.0,131100.0,122079.99999999997,1.0738859764089124,5447700.0,6213005.0,0.8768220852872322,-72.49999999999943,-72.49999999999943
Standard 3,standard,reduced,6747905.0,55150.0,369.9,389.3648826718927,,53650.99999999999,49134.99999999999,1.091910043756996,3065225.0,2615555.0,1.1719214468822106,2.5,-23.249999999999602
Standard 3,standard,total,7809625.0,71830.0,382.9,389.79729124823587,159.0,71773.0,66375.99999999999,1.0813095094612513,3364860.0,3425190.0,0.9823863785658605,-29.499999999999886,-38.749999999999716
Standard 4,standard,oxidized,6719743.0,66890.0,383.9,390.1213071634643,159.0,66888.0,62168.999999999985,1.0759059981662888,2794010.0,3161785.0,0.8836812117205946,-46.499999999999204,-29.749999999999943
Standard 4,standard,reduced,4711905.0,38150.0,372.9,389.6924035021772,,37135.0,34200.99999999999,1.0857869652934127,2125660.0,1831335.0,1.1607160896286042,4.000000000000341,-14.749999999999943
